"","POSTED_SPEED_LIMIT","STREET_NAME","LATITUDE","LONGITUDE","Type","regions","distances"
"1",30,"WABANSIA AVE",41.911724057,-87.714903343,"crash","157","1.3"
"2",30,"MONTROSE AVE",41.960105321,-87.786954428,"crash","083","0.9"
"3",25,"LAKE SHORE DR NB",41.901002863,-87.619779806,"crash","126","1"
"4",30,"WELLS ST",41.909807164,-87.634521005,"crash","139","1.5"
"5",30,"LAKE SHORE DR NB",41.880982208,-87.617104651,"crash","124","1"
"6",30,"CICERO AVE",41.792910883,-87.742077343,"crash","061","1.9"
"7",30,"KOSTNER AVE",41.863884787,-87.735047643,"crash","160","0.9"
"8",30,"55TH ST",41.792943765,-87.740375955,"crash","061","1.7"
"9",30,"AVENUE M",41.719825702,-87.537558399,"crash","142","0.2"
"10",30,"HALSTED ST",41.715870203,-87.64321014,"crash","035","2.5"
"11",30,"AUSTIN BLVD",41.88019051,-87.774512642,"crash","058","0.5"
"12",30,"OHIO ST",41.892479993,-87.635437934,"crash","131","0.8"
"13",30,"WESTERN AVE",41.864739941,-87.686134063,"crash","135","1.2"
"14",30,"SHERIDAN RD",42.001436563,-87.660595367,"crash","093","1.6"
"15",30,"TOUHY AVE",42.012112108,-87.684495931,"crash","051","1.4"
"16",30,"MARSHFIELD AVE",41.791026921,-87.665867211,"crash","119","0.8"
"17",30,"JACKSON BLVD",41.877712629,-87.681813842,"crash","076","1.8"
"18",30,"HALSTED ST",41.686814503,-87.642059295,"crash","022","2.4"
"19",30,"AVENUE O",41.691770078,-87.539961352,"crash","120","2"
"20",30,"LA SALLE DR",41.892445282,-87.632755374,"crash","131","0.5"
"21",30,"LEXINGTON ST",41.871225101,-87.748623157,"crash","057","1.7"
"22",30,"VINCENNES AVE",41.74888097,-87.634860796,"crash","137","0.8"
"23",30,"13TH ST",41.865118846,-87.671423693,"crash","143","1.6"
"24",30,"31ST ST",41.83811103,-87.63282239,"crash","117","1.5"
"25",30,"MOZART ST",41.983941701,-87.70024981,"crash","025","1"
"26",35,"BROADWAY",41.990809367,-87.6604382,"crash","093","0.9"
"27",30,"COTTAGE GROVE AVE",41.703729088,-87.607508312,"crash","035","2.5"
"28",30,"23RD ST",41.849830151,-87.706171869,"crash","021","1.4"
"29",30,"127TH ST",41.663276051,-87.627196121,"crash","045","0.7"
"30",35,"LA SALLE DR",41.903969211,-87.633070711,"crash","139","0.9"
"31",30,"CALIFORNIA AVE",41.931607951,-87.697755776,"crash","028","1.7"
"32",30,"HARLEM AVE",41.947794307,-87.806946647,"crash","106","2.2"
